[2025-11-25 16:01:24] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe-update_II', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-25 16:01:24] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe-update_II
[2025-11-25 16:01:31] Initializing Coconut with mode: residual
[2025-11-25 16:01:31] Running FSDP on rank = 0
[2025-11-25 16:02:34] {"epoch": 4, "step": 1, "loss": 6.315, "avg_alpha": 0.9588, "avg_norm": 611.3895, "avg_cosine": 0.9815, "reg_loss": 1.0151}
[2025-11-25 16:02:36] {"epoch": 4, "step": 2, "loss": 5.9035, "avg_alpha": 0.9901, "avg_norm": 704.4342, "avg_cosine": 0.9794, "reg_loss": 1.4517}
[2025-11-25 16:02:37] {"epoch": 4, "step": 3, "loss": 5.0926, "avg_alpha": 0.9537, "avg_norm": 689.3217, "avg_cosine": 0.9612, "reg_loss": 1.527}
[2025-11-25 16:02:39] {"epoch": 4, "step": 4, "loss": 4.075, "avg_alpha": 0.9632, "avg_norm": 681.4771, "avg_cosine": 0.9626, "reg_loss": 1.606}
[2025-11-25 16:02:41] {"epoch": 4, "step": 5, "loss": 3.4845, "avg_alpha": 0.9947, "avg_norm": 725.5817, "avg_cosine": 0.9868, "reg_loss": 1.5539}
[2025-11-25 16:02:42] {"epoch": 4, "step": 6, "loss": 3.2202, "avg_alpha": 0.9865, "avg_norm": 707.423, "avg_cosine": 0.9801, "reg_loss": 1.944}
[2025-11-25 16:02:44] {"epoch": 4, "step": 7, "loss": 3.1646, "avg_alpha": 0.9902, "avg_norm": 710.2811, "avg_cosine": 0.9747, "reg_loss": 1.1158}
[2025-11-25 16:02:46] {"epoch": 4, "step": 8, "loss": 2.9313, "avg_alpha": 0.9901, "avg_norm": 713.4988, "avg_cosine": 0.971, "reg_loss": 1.3654}
[2025-11-25 16:02:47] {"epoch": 4, "step": 9, "loss": 2.5248, "avg_alpha": 0.9949, "avg_norm": 732.0057, "avg_cosine": 0.9823, "reg_loss": 1.6635}
[2025-11-25 16:02:49] {"epoch": 4, "step": 10, "loss": 2.3283, "avg_alpha": 0.9936, "avg_norm": 748.3107, "avg_cosine": 0.9804, "reg_loss": 1.7217}
[2025-11-25 16:02:51] {"epoch": 4, "step": 11, "loss": 2.5032, "avg_alpha": 0.9908, "avg_norm": 724.7469, "avg_cosine": 0.9696, "reg_loss": 1.8044}
[2025-11-25 16:02:53] {"epoch": 4, "step": 12, "loss": 2.0656, "avg_alpha": 0.9954, "avg_norm": 744.698, "avg_cosine": 0.975, "reg_loss": 1.7611}
[2025-11-25 16:02:55] {"epoch": 4, "step": 13, "loss": 1.9178, "avg_alpha": 0.9971, "avg_norm": 771.2314, "avg_cosine": 0.9879, "reg_loss": 1.4938}
[2025-11-25 16:02:56] {"epoch": 4, "step": 14, "loss": 2.0675, "avg_alpha": 0.9971, "avg_norm": 755.4924, "avg_cosine": 0.9743, "reg_loss": 1.6687}
[2025-11-25 16:02:58] {"epoch": 4, "step": 15, "loss": 1.9852, "avg_alpha": 0.9894, "avg_norm": 733.6505, "avg_cosine": 0.971, "reg_loss": 1.3124}
[2025-11-25 16:02:59] {"epoch": 4, "step": 16, "loss": 1.9325, "avg_alpha": 0.9945, "avg_norm": 726.473, "avg_cosine": 0.9775, "reg_loss": 1.1008}
[2025-11-25 16:03:01] {"epoch": 4, "step": 17, "loss": 1.7864, "avg_alpha": 0.9963, "avg_norm": 728.78, "avg_cosine": 0.975, "reg_loss": 0.6289}
[2025-11-25 16:03:03] {"epoch": 4, "step": 18, "loss": 1.6663, "avg_alpha": 0.997, "avg_norm": 720.2732, "avg_cosine": 0.9818, "reg_loss": 1.257}
[2025-11-25 16:03:04] {"epoch": 4, "step": 19, "loss": 1.7753, "avg_alpha": 0.9953, "avg_norm": 709.0684, "avg_cosine": 0.9802, "reg_loss": 1.0821}
[2025-11-25 16:03:06] {"epoch": 4, "step": 20, "loss": 1.7944, "avg_alpha": 0.9756, "avg_norm": 661.961, "avg_cosine": 0.9725, "reg_loss": 1.143}
[2025-11-25 16:03:07] {"epoch": 4, "step": 21, "loss": 1.6244, "avg_alpha": 0.9925, "avg_norm": 686.7363, "avg_cosine": 0.969, "reg_loss": 1.2102}
[2025-11-25 16:03:10] {"epoch": 4, "step": 22, "loss": 1.7133, "avg_alpha": 0.9865, "avg_norm": 664.8089, "avg_cosine": 0.9697, "reg_loss": 0.9366}
[2025-11-25 16:03:12] {"epoch": 4, "step": 23, "loss": 1.593, "avg_alpha": 0.9845, "avg_norm": 645.1573, "avg_cosine": 0.9756, "reg_loss": 1.0457}
[2025-11-25 16:03:15] {"epoch": 4, "step": 24, "loss": 1.7401, "avg_alpha": 0.9746, "avg_norm": 632.7128, "avg_cosine": 0.9716, "reg_loss": 0.9886}
[2025-11-25 16:03:17] {"epoch": 4, "step": 25, "loss": 1.6125, "avg_alpha": 0.9684, "avg_norm": 616.68, "avg_cosine": 0.9739, "reg_loss": 0.9747}
[2025-11-25 16:03:19] {"epoch": 4, "step": 26, "loss": 1.6441, "avg_alpha": 0.9696, "avg_norm": 617.0938, "avg_cosine": 0.9748, "reg_loss": 0.7339}
[2025-11-25 16:03:21] {"epoch": 4, "step": 27, "loss": 1.5917, "avg_alpha": 0.9608, "avg_norm": 597.6241, "avg_cosine": 0.9685, "reg_loss": 0.7127}
[2025-11-25 16:03:24] {"epoch": 4, "step": 28, "loss": 1.5307, "avg_alpha": 0.9592, "avg_norm": 590.1133, "avg_cosine": 0.9697, "reg_loss": 0.8222}
